table,record_id,filename,expected_path,backup_path,sibling_source_path
rich_rich_files,228,2017-10-03_143856.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/000/228/original/2017-10-03_143856.png,,
rich_rich_files,4694,20260326 1340.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/694/original/20260326 1340.png,,
rich_rich_files,4695,150971_DQA_ISSUE_2.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/695/original/150971_DQA_ISSUE_2.png,,
rich_rich_files,4696,150971_DQA_ISSUE.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/696/original/150971_DQA_ISSUE.png,,
rich_rich_files,4697,未命名.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/697/original/未命名.png,,
rich_rich_files,4698,螢幕擷取畫面 2026-04-01 103456.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/698/original/螢幕擷取畫面 2026-04-01 103456.png,,
rich_rich_files,4700,PTZ_disable.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/700/original/PTZ_disable.png,,
rich_rich_files,4701,PTZ_disable_SPEC.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/701/original/PTZ_disable_SPEC.png,,
rich_rich_files,4702,16ch.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/702/original/16ch.png,,
rich_rich_files,4703,normal.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/703/original/normal.PNG,,
rich_rich_files,4704,Deep search.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/704/original/Deep search.PNG,,
rich_rich_files,4705,2026-04-02 140807.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/705/original/2026-04-02 140807.png,,
rich_rich_files,4706,20260402 1445.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/706/original/20260402 1445.PNG,,
rich_rich_files,4707,20260402 memory.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/707/original/20260402 memory.PNG,,
rich_rich_files,4708,20260407 1417.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/708/original/20260407 1417.PNG,,
rich_rich_files,4709,20260407 memory.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/709/original/20260407 memory.PNG,,
rich_rich_files,4710,4QpKE1hwpw.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/710/original/4QpKE1hwpw.png,,
rich_rich_files,4711,1234.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/711/original/1234.png,,
rich_rich_files,4712,2026-04-08_083912.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/712/original/2026-04-08_083912.png,,
rich_rich_files,4713,camera network.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/713/original/camera network.png,,
rich_rich_files,4714,camera network.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/714/original/camera network.png,,
rich_rich_files,4715,camera network.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/715/original/camera network.png,,
rich_rich_files,4716,camera network.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/716/original/camera network.png,,
rich_rich_files,4717,PTZ_disable.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/717/original/PTZ_disable.png,,
rich_rich_files,4718,PTZ_disable_SPEC.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/718/original/PTZ_disable_SPEC.png,,
rich_rich_files,4719,camera network_Save.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/719/original/camera network_Save.png,,
rich_rich_files,4720,camera network.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/720/original/camera network.png,,
rich_rich_files,4721,camera network_Save.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/721/original/camera network_Save.png,,
rich_rich_files,4722,camera network.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/722/original/camera network.png,,
rich_rich_files,4723,camera network_Manual setup.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/723/original/camera network_Manual setup.png,,
rich_rich_files,4724,20260408 1332.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/724/original/20260408 1332.PNG,,
rich_rich_files,4725,20260408 memory.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/725/original/20260408 memory.PNG,,
rich_rich_files,4726,camera network_Failed to save.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/726/original/camera network_Failed to save.png,,
rich_rich_files,4727,20260402_105707_828.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/727/original/20260402_105707_828.png,,
rich_rich_files,4728,螢幕擷取畫面 2026-04-02 105154.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/728/original/螢幕擷取畫面 2026-04-02 105154.png,,
rich_rich_files,4729,camera network_RTSP.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/729/original/camera network_RTSP.png,,
rich_rich_files,4730,camera network_RTSP.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/730/original/camera network_RTSP.png,,
rich_rich_files,4731,螢幕擷取畫面 2026-04-08 140302.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/731/original/螢幕擷取畫面 2026-04-08 140302.png,,
rich_rich_files,4732,20260407_114148_178.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/732/original/20260407_114148_178.png,,
rich_rich_files,4733,camera network_disconnected.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/733/original/camera network_disconnected.png,,
rich_rich_files,4734,camera network_disconnected.PNG,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/734/original/camera network_disconnected.PNG,,
rich_rich_files,4735,20260407_114148_178.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/735/original/20260407_114148_178.png,,
rich_rich_files,4736,20260407_131903_333.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/736/original/20260407_131903_333.png,,
rich_rich_files,4737,螢幕擷取畫面 2026-04-07 114338.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/737/original/螢幕擷取畫面 2026-04-07 114338.png,,
rich_rich_files,4738,螢幕擷取畫面 2026-04-07 131926.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/738/original/螢幕擷取畫面 2026-04-07 131926.png,,
rich_rich_files,4739,camera network_setup.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/739/original/camera network_setup.png,,
rich_rich_files,4740,camera network_setup.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/740/original/camera network_setup.png,,
rich_rich_files,4741,camera network_Dialog.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/741/original/camera network_Dialog.png,,
rich_rich_files,4742,camera network_Dialog.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/742/original/camera network_Dialog.png,,
rich_rich_files,4743,camera network_Dialog.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/743/original/camera network_Dialog.png,,
rich_rich_files,4744,螢幕擷取畫面 2026-04-08 145416.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/744/original/螢幕擷取畫面 2026-04-08 145416.png,,
rich_rich_files,4745,螢幕擷取畫面 2026-04-08 145520.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/745/original/螢幕擷取畫面 2026-04-08 145520.png,,
rich_rich_files,4746,Media_Save.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/746/original/Media_Save.png,,
rich_rich_files,4747,Media_Save.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/747/original/Media_Save.png,,
rich_rich_files,4748,Media_recording.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/748/original/Media_recording.png,,
rich_rich_files,4749,Media_recording.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/749/original/Media_recording.png,,
rich_rich_files,4750,螢幕擷取畫面 2026-04-07 152656.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/750/original/螢幕擷取畫面 2026-04-07 152656.png,,
rich_rich_files,4751,螢幕擷取畫面 2026-04-07 152840.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/751/original/螢幕擷取畫面 2026-04-07 152840.png,,
rich_rich_files,4752,Media_Main.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/752/original/Media_Main.png,,
rich_rich_files,4753,Media_Main.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/753/original/Media_Main.png,,
rich_rich_files,4754,螢幕擷取畫面 2026-04-07 135217.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/754/original/螢幕擷取畫面 2026-04-07 135217.png,,
rich_rich_files,4755,Media_未顯示數值.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/755/original/Media_未顯示數值.png,,
rich_rich_files,4756,Media_顯示數值.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/756/original/Media_顯示數值.png,,
rich_rich_files,4757,20260408_155734_290.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/757/original/20260408_155734_290.png,,
rich_rich_files,4758,Media_disconnected.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/758/original/Media_disconnected.png,,
rich_rich_files,4759,螢幕擷取畫面 2026-04-07 143315.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/759/original/螢幕擷取畫面 2026-04-07 143315.png,,
rich_rich_files,4760,螢幕擷取畫面 2026-04-07 150859.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/760/original/螢幕擷取畫面 2026-04-07 150859.png,,
rich_rich_files,4761,螢幕擷取畫面 2026-04-08 163347.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/761/original/螢幕擷取畫面 2026-04-08 163347.png,,
rich_rich_files,4762,Media_disconnected.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/762/original/Media_disconnected.png,,
rich_rich_files,4763,Media_disconnected.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/763/original/Media_disconnected.png,,
rich_rich_files,4764,螢幕擷取畫面 2026-04-08 165237.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/764/original/螢幕擷取畫面 2026-04-08 165237.png,,
rich_rich_files,4765,kAekB5xng8.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/765/original/kAekB5xng8.png,,
rich_rich_files,4766,Media_Audio.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/766/original/Media_Audio.png,,
rich_rich_files,4767,Media_Audio.png,/home/dqa03/system/redmine_app/redmine_system/rich/rich_files/rich_files/000/004/767/original/Media_Audio.png,,
